id,img_timestamp,pose_timestamp,img_path,lat_deg,lon_deg,alt_m,x_m,y_m,z_m,roll_rad,pitch_rad,yaw_rad,toggle_enabled

0,1776961752.4350696,1776961752.620092,/home/sylva0/on_board/logs/images/0000000000.jpg,36.1773615,-78.0341226,12.867,5.795161247253418,-8.630914688110352,-12.867485046386719,-0.1751854419708252,-0.06622296571731567,1.7410330772399902,1
1,1776961753.2706213,1776961753.3093863,/home/sylva0/on_board/logs/images/0000000001.jpg,36.1773614,-78.0341084,12.944,5.736299514770508,-7.681716442108154,-12.916106224060059,-0.1142888143658638,-0.023425092920660973,1.7808371782302856,1
2,1776961754.2797627,1776961754.323786,/home/sylva0/on_board/logs/images/0000000002.jpg,36.1773622,-78.0340997,13.207,5.86929988861084,-6.5689697265625,-13.207099914550781,-0.07808578014373779,-0.02254754677414894,1.7507325410842896,1
3,1776961755.2900467,1776961755.3424506,/home/sylva0/on_board/logs/images/0000000003.jpg,36.1773636,-78.0340863,13.331,6.026034355163574,-5.346475601196289,-13.338638305664062,-0.039960119873285294,-0.013259131461381912,1.812191128730774,1
4,1776961756.3075533,1776961756.3731334,/home/sylva0/on_board/logs/images/0000000004.jpg,36.1773643,-78.0340739,13.487,6.1108808517456055,-4.255675315856934,-13.487626075744629,-0.004721185192465782,-0.04022664204239845,1.7406206130981445,1
5,1776961757.2949882,1776961757.3460808,/home/sylva0/on_board/logs/images/0000000005.jpg,36.1773645,-78.0340649,13.39,6.123359680175781,-3.4427356719970703,-13.390071868896484,-0.00568263279274106,0.0016408227384090424,1.7215875387191772,1
6,1776961758.3083234,1776961758.3704424,/home/sylva0/on_board/logs/images/0000000006.jpg,36.1773633,-78.0340622,13.329,5.997007369995117,-3.2007627487182617,-13.329964637756348,-0.020547449588775635,-0.03846607357263565,1.7475203275680542,1
7,1776961759.2928016,1776961759.3353143,/home/sylva0/on_board/logs/images/0000000007.jpg,36.1773617,-78.0340599,13.475,5.818063735961914,-2.9992828369140625,-13.47507095336914,-0.024788618087768555,-0.056107550859451294,1.7122780084609985,1
8,1776961760.3031845,1776961760.3515203,/home/sylva0/on_board/logs/images/0000000008.jpg,36.1773595,-78.0340607,13.538,5.567316055297852,-3.0675392150878906,-13.53803825378418,-0.04697912931442261,-0.08016525208950043,1.7245912551879883,1
9,1776961761.3119164,1776961761.368986,/home/sylva0/on_board/logs/images/0000000009.jpg,36.1773557,-78.0340566,13.695,5.149908065795898,-2.700751304626465,-13.695755958557129,-0.10030878335237503,-0.06705605983734131,1.7830034494400024,1
10,1776961762.3205802,1776961762.3821707,/home/sylva0/on_board/logs/images/0000000010.jpg,36.1773535,-78.0340518,13.795,4.898534774780273,-2.265988349914551,-13.795992851257324,-0.05710422992706299,-0.05015067756175995,1.7373534440994263,1
11,1776961763.303728,1776961763.347462,/home/sylva0/on_board/logs/images/0000000011.jpg,36.1773521,-78.0340454,13.945,4.748538017272949,-1.691697120666504,-13.945229530334473,-0.07293206453323364,-0.06431637704372406,1.7866348028182983,1
12,1776961764.313584,1776961764.3623772,/home/sylva0/on_board/logs/images/0000000012.jpg,36.1773511,-78.0340377,13.984,4.634654998779297,-0.9990396499633789,-13.9844331741333,-0.07027232646942139,-0.02834586426615715,1.763388752937317,1
13,1776961765.322579,1776961765.3790386,/home/sylva0/on_board/logs/images/0000000013.jpg,36.1773495,-78.0340272,14.224,4.461989402770996,-0.06206703186035156,-14.224809646606445,-0.07140848785638809,-0.045924894511699677,1.7921347618103027,1
14,1776961766.3068497,1776961766.3447397,/home/sylva0/on_board/logs/images/0000000014.jpg,36.1773492,-78.0340159,14.245,4.420403480529785,0.9605712890625,-14.245418548583984,-0.029290562495589256,-0.036218080669641495,1.7201964855194092,1
15,1776961767.3287587,1776961767.3867843,/home/sylva0/on_board/logs/images/0000000015.jpg,36.1773451,-78.0340039,14.34,3.9685468673706055,2.0313282012939453,-14.340706825256348,-0.07583816349506378,-0.01179125439375639,1.6930791139602661,1
16,1776961768.3160777,1776961768.3572595,/home/sylva0/on_board/logs/images/0000000016.jpg,36.1773482,-78.0339926,14.481,4.312262535095215,3.049724578857422,-14.481398582458496,-0.0054047126322984695,3.6874786019325256e-05,1.705962061882019,1
17,1776961769.326233,1776961769.3728988,/home/sylva0/on_board/logs/images/0000000017.jpg,36.1773491,-78.0339883,14.619,4.4119672775268555,3.434988021850586,-14.619331359863281,-0.01285400241613388,-0.021974967792630196,1.7980817556381226,1
18,1776961770.3342795,1776961770.388564,/home/sylva0/on_board/logs/images/0000000018.jpg,36.177347,-78.0339862,14.618,4.183009147644043,3.627634048461914,-14.618507385253906,-0.04344962164759636,-0.029473967850208282,1.769492268562317,1
19,1776961771.3410368,1776961771.4016821,/home/sylva0/on_board/logs/images/0000000019.jpg,36.1773456,-78.0339828,14.621,4.026549339294434,3.9328689575195312,-14.621639251708984,-0.05039966106414795,-0.0420718714594841,1.7181274890899658,1
20,1776961772.3292902,1776961772.3743386,/home/sylva0/on_board/logs/images/0000000020.jpg,36.1773426,-78.0339802,14.647,3.688521385192871,4.164588928222656,-14.647960662841797,-0.08582369238138199,-0.07065917551517487,1.7166420221328735,1
21,1776961773.3468666,1776961773.4068809,/home/sylva0/on_board/logs/images/0000000021.jpg,36.1773409,-78.033974,14.7,3.4969282150268555,4.718719482421875,-14.700942993164062,-0.08269563317298889,-0.03603164479136467,1.7741048336029053,1
22,1776961774.33617,1776961774.3813257,/home/sylva0/on_board/logs/images/0000000022.jpg,36.1773374,-78.0339633,14.926,3.1091384887695312,5.68402099609375,-14.926788330078125,-0.14618097245693207,-0.01587146893143654,1.7054640054702759,1
23,1776961775.3469439,1776961775.4031534,/home/sylva0/on_board/logs/images/0000000023.jpg,36.1773359,-78.0339506,15.307,2.945816993713379,6.822206497192383,-15.307003021240234,-0.09811810404062271,-0.0002295076847076416,1.6870275735855103,1
24,1776961776.3534594,1776961776.4156003,/home/sylva0/on_board/logs/images/0000000024.jpg,36.1773381,-78.0339378,15.623,3.185342788696289,7.9712982177734375,-15.623397827148438,-0.018498724326491356,-0.0005516111850738525,1.6754302978515625,1
25,1776961777.3375764,1776961777.3794582,/home/sylva0/on_board/logs/images/0000000025.jpg,36.1773354,-78.0339249,15.675,2.8862924575805664,9.132644653320312,-15.675617218017578,-0.15309114754199982,0.049434300512075424,1.6191099882125854,1
26,1776961778.351252,1776961778.4029756,/home/sylva0/on_board/logs/images/0000000026.jpg,36.177335,-78.0339183,15.519,2.842949867248535,9.730548858642578,-15.519302368164062,-0.07587412744760513,-0.007826500572264194,1.596405029296875,1
27,1776961779.355053,1776961779.406465,/home/sylva0/on_board/logs/images/0000000027.jpg,36.1773359,-78.0339126,15.465,2.947911262512207,10.236953735351562,-15.465719223022461,-0.03900284320116043,-0.01188765186816454,1.7500967979431152,1
28,1776961780.363831,1776961780.4231305,/home/sylva0/on_board/logs/images/0000000028.jpg,36.1773348,-78.0339135,15.363,2.8183279037475586,10.160844802856445,-15.363988876342773,-0.09838002175092697,-0.04660532996058464,1.7485687732696533,1
29,1776961781.348374,1776961781.3915257,/home/sylva0/on_board/logs/images/0000000029.jpg,36.1773338,-78.033911,15.338,2.70938777923584,10.384323120117188,-15.338464736938477,-0.09477248787879944,-0.05214320868253708,1.7430322170257568,1
30,1776961782.3581452,1776961782.4075317,/home/sylva0/on_board/logs/images/0000000030.jpg,36.1773311,-78.0339084,15.383,2.4675636291503906,10.534734725952148,-15.352764129638672,-0.09100497514009476,-0.05488726869225502,1.7585091590881348,1
31,1776961783.3709521,1776961783.4305997,/home/sylva0/on_board/logs/images/0000000031.jpg,36.1773278,-78.0339051,15.488,2.0455322265625,10.910957336425781,-15.488622665405273,-0.1522119641304016,-0.0415528379380703,1.724468469619751,1
