tree_id,score,px_xmin,px_ymin,px_xmax,px_ymax,crown_width_px,crown_height_px,crown_diameter_px,crown_width_m,crown_height_m,crown_diameter_m,geo_x,geo_y,mean_r,mean_g,mean_b,std_r,std_g,std_b,greenness_exg,vari,brightness,tile_idx,tile_origin_col,tile_origin_row
204,0.6755,2482.0,2009.0,2521.0,2044.0,39.0,35.0,37.0,2.09,1.876,1.983,638498.172494,3863604.27237,134.9,144.0,61.7,30.7,32.9,20.8,91.37,0.0418,113.5,1,1920,0
205,0.6735,2010.0,1774.0,2039.0,1803.0,29.0,29.0,29.0,1.554,1.554,1.554,638472.609891,3863617.02592,137.9,143.4,65.8,31.4,31.2,23.5,83.21,0.0257,115.7,1,1920,0
206,0.6725,1923.0,1897.0,1963.0,1935.0,40.0,38.0,39.0,2.144,2.036,2.09,638468.242276,3863610.193661,135.4,135.8,65.9,30.8,35.6,20.8,70.31,0.002,112.4,1,1920,0
207,0.6725,2765.0,1588.0,2813.0,1624.0,48.0,36.0,42.0,2.572,1.929,2.251,638513.579724,3863626.805428,136.6,145.4,60.3,33.0,33.9,21.1,93.89,0.0397,114.1,1,1920,0
208,0.6714,3641.0,1650.0,3674.0,1679.0,33.0,29.0,31.0,1.768,1.554,1.661,638560.122954,3863623.670627,129.6,129.0,60.0,20.0,26.6,16.8,68.4,-0.003,106.2,1,1920,0
209,0.6681,3304.0,930.0,3339.0,964.0,35.0,34.0,34.5,1.876,1.822,1.849,638542.116592,3863662.11883,109.7,115.1,49.1,25.2,29.7,15.8,71.57,0.0312,91.3,1,1920,0
210,0.6628,3131.0,1198.0,3167.0,1233.0,36.0,35.0,35.5,1.929,1.876,1.902,638532.872254,3863647.730896,130.0,133.8,57.0,24.8,27.4,15.9,80.67,0.0185,106.9,1,1920,0
211,0.6611,3240.0,923.0,3276.0,959.0,36.0,36.0,36.0,1.929,1.929,1.929,638538.713604,3863662.440348,138.5,141.7,53.6,32.9,37.0,16.6,91.26,0.014,111.3,1,1920,0
212,0.6552,3486.0,1420.0,3529.0,1461.0,43.0,41.0,42.0,2.304,2.197,2.251,638552.0844,3863635.673968,123.1,127.6,55.5,21.3,26.0,15.2,76.5,0.0227,102.1,1,1920,0
213,0.6549,3530.0,1364.0,3566.0,1399.0,36.0,35.0,35.5,1.929,1.876,1.902,638554.254809,3863638.835563,127.4,131.7,50.2,29.3,32.6,17.4,85.75,0.0204,103.1,1,1920,0
214,0.6546,2677.0,1516.0,2707.0,1545.0,30.0,29.0,29.5,1.608,1.554,1.581,638508.381458,3863630.851197,141.8,142.9,64.9,26.7,30.0,17.7,79.14,0.0053,116.5,1,1920,0
215,0.6545,3032.0,1102.0,3055.0,1127.0,23.0,25.0,24.0,1.233,1.34,1.286,638527.218471,3863653.143117,122.1,132.8,49.4,29.3,28.2,16.9,94.18,0.0523,101.4,1,1920,0
216,0.6544,3611.0,755.0,3642.0,787.0,31.0,32.0,31.5,1.661,1.715,1.688,638558.461653,3863671.550027,133.3,140.3,58.7,22.5,25.7,15.0,88.56,0.0324,110.8,1,1920,0
217,0.6534,3740.0,1972.0,3766.0,2000.0,26.0,28.0,27.0,1.393,1.5,1.447,638565.240834,3863606.442617,132.4,132.4,65.0,24.1,27.5,16.6,67.46,0.0003,110.0,1,1920,0
218,0.6533,3423.0,1410.0,3453.0,1440.0,30.0,30.0,30.0,1.608,1.608,1.608,638548.359869,3863636.504557,124.7,129.1,54.9,20.1,23.4,15.4,78.6,0.0221,102.9,1,1920,0
219,0.6516,3597.0,1698.0,3636.0,1734.0,39.0,36.0,37.5,2.09,1.929,2.01,638557.925749,3863620.91093,138.0,133.1,72.5,21.7,25.7,18.3,55.61,-0.025,114.5,1,1920,0
220,0.6506,3404.0,1213.0,3432.0,1242.0,28.0,29.0,28.5,1.5,1.554,1.527,638547.288062,3863647.08786,126.9,128.4,54.4,17.9,21.5,14.3,75.53,0.0075,103.3,1,1920,0
221,0.6501,3326.0,806.0,3353.0,836.0,27.0,30.0,28.5,1.447,1.608,1.527,638543.081219,3863668.87071,124.6,137.5,50.4,22.3,25.1,17.2,100.06,0.0612,104.2,1,1920,0
222,0.6486,3052.0,1402.0,3083.0,1431.0,31.0,29.0,30.0,1.661,1.554,1.608,638528.50464,3863636.960041,130.7,134.2,54.2,22.4,23.8,16.1,83.55,0.0169,106.4,1,1920,0
223,0.6435,3700.0,1882.0,3737.0,1919.0,37.0,37.0,37.0,1.983,1.983,1.983,638563.391966,3863611.024249,124.5,120.3,58.8,24.8,27.6,16.7,57.29,-0.0225,101.2,1,1920,0
224,0.6434,3047.0,1566.0,3088.0,1604.0,41.0,38.0,39.5,2.197,2.036,2.117,638528.50464,3863627.930741,120.7,131.3,46.9,30.4,28.8,20.4,94.9,0.0514,99.7,1,1920,0
225,0.643,3006.0,1605.0,3037.0,1635.0,31.0,30.0,30.5,1.661,1.608,1.634,638526.039483,3863626.055219,152.5,151.4,76.3,29.1,32.8,22.8,73.95,-0.005,126.8,1,1920,0
226,0.6429,3707.0,924.0,3740.0,957.0,33.0,33.0,33.0,1.768,1.768,1.768,638563.659918,3863662.467141,129.2,140.7,53.2,22.1,22.1,16.3,99.03,0.0533,107.7,1,1920,0
227,0.6417,3154.0,1849.0,3193.0,1887.0,39.0,38.0,38.5,2.09,2.036,2.063,638534.185218,3863612.765805,148.5,149.9,80.2,27.8,28.8,33.7,71.09,0.0064,126.2,1,1920,0
228,0.6405,3447.0,675.0,3485.0,711.0,38.0,36.0,37.0,2.036,1.929,1.983,638549.8604,3863675.729762,124.4,131.2,47.0,26.6,30.2,15.9,91.06,0.0326,100.9,1,1920,0
229,0.64,2338.0,1903.0,2381.0,1945.0,43.0,42.0,42.5,2.304,2.251,2.278,638490.562662,3863609.76497,144.6,143.4,76.7,24.1,26.2,19.2,65.53,-0.0056,121.6,1,1920,0
230,0.6396,3385.0,991.0,3413.0,1019.0,28.0,28.0,28.0,1.5,1.5,1.5,638546.269845,3863659.010822,145.4,152.2,52.0,28.2,30.4,18.0,107.09,0.028,116.5,1,1920,0
231,0.6377,3280.0,844.0,3317.0,882.0,37.0,38.0,37.5,1.983,2.036,2.01,638540.884014,3863666.620083,128.1,136.9,52.0,21.7,25.7,14.9,93.81,0.0415,105.7,1,1920,0
232,0.6337,1966.0,1792.0,1994.0,1821.0,28.0,29.0,28.5,1.5,1.554,1.527,638470.22512,3863616.061366,117.7,127.1,46.2,27.6,26.4,17.9,90.42,0.0477,97.0,1,1920,0
233,0.6325,2556.0,1256.0,2592.0,1289.0,36.0,33.0,34.5,1.929,1.768,1.849,638502.057795,3863644.676475,128.5,139.4,56.1,24.9,29.2,18.4,94.19,0.0515,108.0,1,1920,0
234,0.6324,3485.0,1170.0,3519.0,1200.0,34.0,30.0,32.0,1.822,1.608,1.715,638551.789653,3863649.36528,137.6,145.9,49.6,25.4,27.7,13.3,104.49,0.0352,111.0,1,1920,0
235,0.631,3758.0,1652.0,3800.0,1690.0,42.0,38.0,40.0,2.251,2.036,2.144,638566.634183,3863623.322316,127.0,129.7,55.7,26.4,27.6,21.1,76.65,0.0134,104.1,1,1920,0
236,0.6288,3513.0,1476.0,3543.0,1504.0,30.0,28.0,29.0,1.608,1.5,1.554,638553.183002,3863633.021444,105.2,112.5,36.3,18.4,22.8,14.3,83.4,0.04,84.7,1,1920,0
237,0.6259,3453.0,866.0,3479.0,892.0,26.0,26.0,26.0,1.393,1.393,1.393,638549.8604,3863665.762702,122.1,134.6,46.4,24.3,26.4,16.2,100.71,0.0594,101.1,1,1920,0
